               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.010323,           0.0042505,                   0,             0.99981,                   1,               0.995,             0.89628,           0.0074079,           0.0022776,                   0,            0.006073,            0.006073,            0.006073
                 121,           0.0099938,           0.0040593,                   0,             0.99981,                   1,               0.995,             0.97587,           0.0062407,           0.0022367,                   0,             0.00604,             0.00604,             0.00604
                 122,           0.0095892,           0.0043419,                   0,             0.99982,                   1,               0.995,             0.99244,           0.0041413,           0.0019768,                   0,            0.006007,            0.006007,            0.006007
                 123,           0.0097572,           0.0038476,                   0,             0.99982,                   1,               0.995,             0.99253,           0.0034581,           0.0019973,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.009023,           0.0039353,                   0,             0.99982,                   1,               0.995,             0.97512,           0.0044219,           0.0020136,                   0,            0.005941,            0.005941,            0.005941
                 125,           0.0095733,           0.0039769,                   0,             0.99982,                   1,               0.995,             0.96601,           0.0045052,           0.0021098,                   0,            0.005908,            0.005908,            0.005908
                 126,           0.0088219,           0.0038778,                   0,             0.99982,                   1,               0.995,               0.979,            0.004903,           0.0020529,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.010036,           0.0039704,                   0,             0.99982,                   1,               0.995,             0.98773,           0.0038362,           0.0018792,                   0,            0.005842,            0.005842,            0.005842
                 128,           0.0085035,           0.0039627,                   0,             0.99981,                   1,               0.995,             0.98009,           0.0039509,           0.0019548,                   0,            0.005809,            0.005809,            0.005809
                 129,           0.0086136,            0.003672,                   0,             0.99981,                   1,               0.995,             0.98482,           0.0041204,           0.0019021,                   0,            0.005776,            0.005776,            0.005776
                 130,           0.0092551,           0.0038595,                   0,             0.99981,                   1,               0.995,             0.98664,           0.0041444,           0.0019399,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.010354,           0.0041665,                   0,             0.99982,                   1,               0.995,             0.99312,            0.003284,           0.0017729,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.009579,           0.0039673,                   0,             0.99982,                   1,               0.995,              0.9706,           0.0039217,           0.0018709,                   0,            0.005677,            0.005677,            0.005677
                 133,           0.0094827,           0.0038619,                   0,             0.99981,                   1,               0.995,             0.97868,           0.0037548,           0.0019033,                   0,            0.005644,            0.005644,            0.005644
                 134,           0.0086655,            0.003894,                   0,             0.99981,                   1,               0.995,             0.98787,           0.0045283,           0.0018939,                   0,            0.005611,            0.005611,            0.005611
                 135,           0.0097969,           0.0040033,                   0,             0.99981,                   1,               0.995,             0.99183,            0.003199,           0.0018987,                   0,            0.005578,            0.005578,            0.005578
                 136,           0.0090556,           0.0040109,                   0,             0.99981,                   1,               0.995,              0.9834,           0.0057919,             0.00207,                   0,            0.005545,            0.005545,            0.005545
                 137,           0.0086464,            0.004169,                   0,             0.99982,                   1,               0.995,             0.99082,           0.0036009,           0.0018372,                   0,            0.005512,            0.005512,            0.005512
                 138,           0.0084377,            0.004005,                   0,             0.99981,                   1,               0.995,             0.99398,           0.0031174,           0.0018122,                   0,            0.005479,            0.005479,            0.005479
                 139,           0.0087986,           0.0039557,                   0,             0.99981,                   1,               0.995,             0.97972,           0.0033909,           0.0017109,                   0,            0.005446,            0.005446,            0.005446
                 140,           0.0090664,           0.0039761,                   0,             0.99982,                   1,               0.995,             0.99435,           0.0027232,           0.0017644,                   0,            0.005413,            0.005413,            0.005413
                 141,           0.0083058,           0.0037353,                   0,             0.99982,                   1,               0.995,             0.98616,           0.0038528,           0.0019057,                   0,             0.00538,             0.00538,             0.00538
                 142,           0.0085916,           0.0035805,                   0,             0.99981,                   1,               0.995,             0.97843,           0.0041262,           0.0018038,                   0,            0.005347,            0.005347,            0.005347
                 143,           0.0089182,           0.0036964,                   0,             0.99981,                   1,               0.995,               0.995,           0.0030494,           0.0017115,                   0,            0.005314,            0.005314,            0.005314
                 144,           0.0086497,           0.0037317,                   0,             0.99981,                   1,               0.995,              0.9885,           0.0032633,           0.0017018,                   0,            0.005281,            0.005281,            0.005281
                 145,           0.0083651,           0.0039282,                   0,             0.99982,                   1,               0.995,             0.99181,           0.0032491,           0.0017055,                   0,            0.005248,            0.005248,            0.005248
                 146,           0.0088189,           0.0035667,                   0,             0.99982,                   1,               0.995,             0.95633,           0.0049874,           0.0019259,                   0,            0.005215,            0.005215,            0.005215
                 147,           0.0090269,           0.0037085,                   0,             0.99982,                   1,               0.995,               0.995,           0.0028729,           0.0018126,                   0,            0.005182,            0.005182,            0.005182
                 148,           0.0086294,           0.0036827,                   0,             0.99982,                   1,               0.995,               0.995,           0.0030363,           0.0017401,                   0,            0.005149,            0.005149,            0.005149
                 149,           0.0087407,            0.003899,                   0,             0.99982,                   1,               0.995,             0.95031,           0.0047108,           0.0018823,                   0,            0.005116,            0.005116,            0.005116
                 150,           0.0081224,           0.0036882,                   0,             0.99982,                   1,               0.995,               0.995,           0.0029623,           0.0017534,                   0,            0.005083,            0.005083,            0.005083
                 151,           0.0089236,           0.0037784,                   0,             0.99982,                   1,               0.995,             0.99443,           0.0038659,           0.0017899,                   0,             0.00505,             0.00505,             0.00505
                 152,           0.0079516,           0.0035879,                   0,             0.99982,                   1,               0.995,              0.9946,           0.0032318,           0.0017055,                   0,            0.005017,            0.005017,            0.005017
                 153,           0.0083147,           0.0036361,                   0,             0.99982,                   1,               0.995,             0.98833,           0.0034747,           0.0017348,                   0,            0.004984,            0.004984,            0.004984
                 154,           0.0077443,           0.0033087,                   0,             0.99982,                   1,               0.995,               0.995,           0.0027556,            0.001671,                   0,            0.004951,            0.004951,            0.004951
                 155,           0.0080261,           0.0036736,                   0,             0.99982,                   1,               0.995,               0.995,           0.0025139,           0.0016339,                   0,            0.004918,            0.004918,            0.004918
                 156,           0.0078744,           0.0035286,                   0,             0.99982,                   1,               0.995,             0.98775,            0.004027,           0.0018776,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.007141,           0.0033097,                   0,             0.99982,                   1,               0.995,             0.99453,           0.0028015,           0.0016402,                   0,            0.004852,            0.004852,            0.004852
                 158,           0.0077364,            0.003422,                   0,             0.99982,                   1,               0.995,             0.99328,           0.0026149,           0.0016232,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.008297,             0.00354,                   0,             0.99982,                   1,               0.995,               0.995,           0.0031501,            0.001636,                   0,            0.004786,            0.004786,            0.004786
                 160,           0.0079745,           0.0035278,                   0,             0.99982,                   1,               0.995,             0.97421,           0.0034677,           0.0017226,                   0,            0.004753,            0.004753,            0.004753
                 161,           0.0074283,             0.00356,                   0,             0.99982,                   1,               0.995,             0.97965,           0.0030224,           0.0016192,                   0,             0.00472,             0.00472,             0.00472
                 162,           0.0070234,           0.0033281,                   0,             0.99982,                   1,               0.995,               0.995,           0.0027428,           0.0015939,                   0,            0.004687,            0.004687,            0.004687
                 163,           0.0079368,           0.0035922,                   0,             0.99982,                   1,               0.995,               0.995,           0.0033233,           0.0016183,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.008207,           0.0035419,                   0,             0.99982,                   1,               0.995,             0.99491,           0.0032444,           0.0015929,                   0,            0.004621,            0.004621,            0.004621
                 165,           0.0074091,           0.0033783,                   0,             0.99982,                   1,               0.995,               0.995,           0.0043048,           0.0017374,                   0,            0.004588,            0.004588,            0.004588
