               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.014644,           0.0048047,                   0,             0.99979,                   1,               0.995,             0.89119,           0.0086747,           0.0027677,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.013096,            0.005016,                   0,             0.99978,                   1,               0.995,             0.89698,           0.0082617,             0.00276,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.013629,           0.0049358,                   0,             0.99979,                   1,               0.995,             0.90809,           0.0066285,           0.0027445,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.014077,           0.0048839,                   0,             0.99979,                   1,               0.995,              0.9432,            0.005409,           0.0026147,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.013412,           0.0049892,                   0,             0.99979,                   1,               0.995,             0.94292,           0.0067878,           0.0026588,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.012826,           0.0050865,                   0,              0.9998,                   1,               0.995,             0.90881,           0.0073123,           0.0026939,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.013225,           0.0047018,                   0,              0.9998,                   1,               0.995,             0.90111,           0.0075592,            0.002784,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.013268,           0.0047894,                   0,              0.9998,                   1,               0.995,              0.8953,           0.0077784,           0.0027539,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.01329,           0.0048564,                   0,              0.9998,                   1,               0.995,             0.95175,           0.0056099,              0.0026,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.011027,           0.0044346,                   0,             0.99981,                   1,               0.995,             0.92418,             0.00733,           0.0026624,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.013425,           0.0050428,                   0,              0.9998,                   1,               0.995,             0.95792,           0.0047078,           0.0025965,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.012456,           0.0046091,                   0,              0.9998,                   1,               0.995,             0.96521,           0.0047728,           0.0024456,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.012311,           0.0049668,                   0,              0.9998,                   1,               0.995,             0.91186,           0.0078286,           0.0027261,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.012138,           0.0045977,                   0,             0.99981,                   1,               0.995,             0.96318,           0.0058389,           0.0027199,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.013112,           0.0048898,                   0,              0.9998,                   1,               0.995,             0.94591,           0.0049066,           0.0027024,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.012158,           0.0047287,                   0,             0.99981,                   1,               0.995,             0.90422,           0.0060345,           0.0025844,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.011682,             0.00438,                   0,              0.9998,                   1,               0.995,             0.93891,           0.0051916,            0.002493,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.011186,           0.0045595,                   0,             0.99981,                   1,               0.995,             0.95908,           0.0077375,           0.0026974,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.012725,            0.004672,                   0,              0.9998,                   1,               0.995,             0.95706,           0.0049105,           0.0024931,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.011381,           0.0043558,                   0,              0.9998,                   1,               0.995,             0.92893,           0.0055845,            0.002481,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.011425,           0.0043689,                   0,              0.9998,                   1,               0.995,             0.91678,            0.006379,            0.002586,                   0,            0.006964,            0.006964,            0.006964
